formatted_date,daily_sales_count,daily_redemption_count
2023-07-11,124,44
2023-07-12,8866,9322
2023-07-13,6651,5465
2023-07-14,12817,11960
2023-07-15,12296,14028
2023-07-16,15684,17008
2023-07-17,8517,7927
2023-07-18,9173,8344
2023-07-19,10397,11270
2023-07-20,8492,7124
2023-07-21,10787,9438
2023-07-22,19477,20861
2023-07-23,14060,15453
2023-07-24,6960,6000
2023-07-25,8075,7678
2023-07-26,9849,10427
2023-07-27,8924,8482
2023-07-28,10040,9915
2023-07-29,7964,7269
2023-07-30,17902,18959
2023-07-31,9636,8832
2023-08-01,10113,10118
2023-08-02,9533,9614
2023-08-03,9829,8506
2023-08-04,12283,11050
2023-08-05,17858,18473
2023-08-06,19126,20905
2023-08-07,5534,5146
2023-08-08,7503,6536
2023-08-09,12186,12866
2023-08-10,6577,5617
2023-08-11,12104,12953
2023-08-12,10173,9302
2023-08-13,16419,17859
2023-08-14,9420,9616
2023-08-15,12168,10788
2023-08-16,12637,12521
2023-08-17,9780,9912
2023-08-18,9057,7759
2023-08-19,20234,21001
2023-08-20,15928,17432
2023-08-21,8928,8733
2023-08-22,9074,9402
2023-08-23,4506,3960
2023-08-24,8225,7147
2023-08-25,8968,8749
2023-08-26,11808,11611
2023-08-27,15565,16421
2023-08-28,9725,9843
2023-08-29,9402,9528
2023-08-30,7784,7220
2023-08-31,9526,9687
2023-09-01,11564,10984
2023-09-02,15527,15873
2023-09-03,18674,19473
2023-09-04,14014,15092
2023-09-05,4998,4466
2023-09-06,4061,4110
2023-09-07,2717,2506
2023-09-08,4141,3434
2023-09-09,9271,9423
2023-09-10,7341,9421
2023-09-11,3787,3658
2023-09-12,1789,1703
2023-09-13,2524,2371
2023-09-14,2857,3445
2023-09-15,5078,4612
2023-09-16,10728,11392
2023-09-17,6152,6802
2023-09-18,2942,2851
2023-09-19,2734,2937
2023-09-20,2945,2963
2023-09-21,3137,3292
2023-09-22,4223,4149
2023-09-23,8003,8292
2023-09-24,6897,7479
2023-09-25,2943,3184
2023-09-26,2116,2127
2023-09-27,2427,2409
2023-09-28,2290,2216
2023-09-29,4054,3980
2023-09-30,7130,7452
2023-10-01,7037,7375
2023-10-02,4289,4441
2023-10-03,3867,4042
2023-10-04,3885,4003
2023-10-05,3191,3364
2023-10-06,3106,2957
2023-10-07,4498,4655
2023-10-08,2206,2330
2023-10-09,2545,2654
2023-10-10,6637,6751
2023-10-11,1678,1804
2023-10-12,2252,2408
2023-10-13,1910,2067
2023-10-14,2123,2209
2023-10-15,1727,1785
2023-10-16,1409,1524
2023-10-17,1812,1927
2023-10-18,1654,1763
2023-10-19,1342,1608
2023-10-20,838,966
2023-10-21,2088,2212
2023-10-22,2319,2326
2023-10-23,1653,1763
2023-10-24,2079,2179
2023-10-25,1609,1673
2023-10-26,884,987
2023-10-27,2233,2268
2023-10-28,3772,3971
2023-10-29,1039,1126
2023-10-30,1815,1873
2023-10-31,1226,1365
2023-11-01,844,921
2023-11-02,828,954
2023-11-03,1094,1262
2023-11-04,1438,1570
2023-11-05,1783,1871
2023-11-06,577,695
2023-11-07,671,797
2023-11-08,836,981
2023-11-09,827,947
2023-11-10,1158,1370
2023-11-11,1155,1233
2023-11-12,1290,1392
2023-11-13,1820,1942
2023-11-14,732,837
2023-11-15,931,1008
2023-11-16,985,1151
2023-11-17,735,833
2023-11-18,1683,1810
2023-11-19,1077,1205
2023-11-20,728,899
2023-11-21,220,370
2023-11-22,552,764
2023-11-23,676,874
2023-11-24,693,899
2023-11-25,1032,1179
2023-11-26,549,621
2023-11-27,2154,2311
2023-11-28,369,510
2023-11-29,393,483
2023-11-30,1047,1072
2023-12-01,471,463
2023-12-02,557,744
2023-12-03,370,454
2023-12-04,465,616
2023-12-05,1457,575
2023-12-06,559,643
2023-12-07,304,527
2023-12-08,551,645
2023-12-09,664,854
2023-12-10,472,574
2023-12-11,467,545
2023-12-12,2301,2489
2023-12-13,345,580
2023-12-14,1124,1172
2023-12-15,901,1021
2023-12-16,695,786
2023-12-17,458,571
2023-12-18,363,537
2023-12-19,846,1014
2023-12-20,607,761
2023-12-21,919,930
2023-12-22,618,739
2023-12-23,312,444
2023-12-24,918,951
2023-12-25,906,963
2023-12-26,624,726
2023-12-27,334,428
2023-12-28,603,719
2023-12-29,773,829
2023-12-30,1141,1170
2023-12-31,953,1047
2024-01-01,1003,940
2024-01-02,739,832
2024-01-03,675,773
2024-01-04,806,907
2024-01-05,498,597
2024-01-06,478,569
2024-01-07,479,494
2024-01-08,563,510
2024-01-09,165,375
2024-01-10,460,473
2024-01-11,338,474
2024-01-12,929,1065
2024-01-13,86,125
2024-01-14,199,290
2024-01-15,297,496
2024-01-16,256,414
2024-01-17,275,484
2024-01-18,314,490
2024-01-19,578,552
2024-01-20,344,446
2024-01-21,732,825
2024-01-22,403,526
2024-01-23,137,242
2024-01-24,324,460
2024-01-25,350,545
2024-01-26,338,517
2024-01-27,512,592
2024-01-28,538,599
2024-01-29,1173,1327
2024-01-30,441,533
2024-01-31,548,669
2024-02-01,476,466
2024-02-02,629,761
2024-02-03,1271,1363
2024-02-04,1129,1230
2024-02-05,380,551
2024-02-06,565,647
2024-02-07,571,661
2024-02-08,520,649
2024-02-09,892,1068
2024-02-10,1541,1672
2024-02-11,649,734
2024-02-12,505,673
2024-02-13,742,908
2024-02-14,1292,1477
2024-02-15,360,523
2024-02-16,416,538
2024-02-17,723,794
2024-02-18,520,598
2024-02-19,813,910
2024-02-20,733,924
2024-02-21,703,806
2024-02-22,627,782
2024-02-23,733,892
2024-02-24,643,770
2024-02-25,770,769
2024-02-26,1059,1170
2024-02-27,1089,1216
2024-02-28,519,561
2024-02-29,516,667
2024-03-01,1055,1145
2024-03-02,781,824
2024-03-03,918,921
2024-03-04,2245,1383
2024-03-05,851,945
2024-03-06,596,837
2024-03-07,1217,1438
2024-03-08,823,993
2024-03-09,418,460
2024-03-10,509,520
2024-03-11,1129,1230
2024-03-12,1242,1345
2024-03-13,3086,3113
2024-03-14,666,769
2024-03-15,945,1121
2024-03-16,1183,1244
2024-03-17,723,833
